Customer_ID,Age,Gender,City,Annual_Income,Total_Spending,Average_Order_Value,Purchase_Frequency,Preferred_Category,Discount_Usage,Days_Since_Last_Purchase,Customer_Lifetime_Months
LUM-1000,41,Female,Dubai,55600.0,2250.01,160.72,14,Skincare,0.35,74,54
LUM-1001,34,Female,Tokyo,99300.0,3993.58,181.53,22,Makeup,0.23,23,48
LUM-1002,43,Non-Binary,Los Angeles,142800.0,5411.68,169.12,32,Bath & Body,0.41,34,7
LUM-1003,52,Female,Los Angeles,150600.0,5810.08,166.0,35,Haircare,0.05,2,31
LUM-1004,33,Male,Tokyo,74000.0,3167.67,137.72,23,Haircare,0.17,23,49
LUM-1005,33,Male,New York,118500.0,4805.75,100.12,48,Fragrance,0.21,5,49
LUM-1006,53,Female,New York,133600.0,4305.66,95.68,45,Haircare,0.24,16,29
LUM-1007,44,Female,Paris,32300.0,1740.45,158.22,11,Fragrance,0.38,13,27
LUM-1008,30,Female,Paris,67100.0,2728.82,143.62,19,Skincare,0.49,19,18
LUM-1009,41,Female,Los Angeles,162700.0,5983.02,166.2,36,Skincare,0.49,29,18
LUM-1010,30,Male,Tokyo,74500.0,3345.78,133.83,25,Skincare,0.18,81,38
LUM-1011,30,Male,Milan,22000.0,1710.05,190.01,9,Makeup,0.11,17,27
LUM-1012,38,Female,Milan,80800.0,3534.7,220.92,16,Makeup,0.05,138,43
LUM-1013,18,Female,Tokyo,124400.0,4698.43,130.51,36,Fragrance,0.13,49,3
LUM-1014,18,Male,Paris,85200.0,3159.2,112.83,28,Haircare,0.25,25,7
LUM-1015,29,Female,Los Angeles,110000.0,3448.13,98.52,35,Haircare,0.29,36,43
LUM-1016,24,Male,Los Angeles,117800.0,4677.75,187.11,25,Skincare,0.33,3,22
LUM-1017,39,Female,Paris,72600.0,3214.7,153.08,21,Bath & Body,0.12,65,7
LUM-1018,26,Female,Milan,66800.0,2807.44,112.3,25,Makeup,0.22,30,38
LUM-1019,20,Female,London,90400.0,3944.12,187.82,21,Makeup,0.32,149,31
LUM-1020,52,Female,London,91200.0,3295.94,106.32,31,Skincare,0.37,35,50
LUM-1021,33,Female,Paris,86900.0,3490.13,174.51,20,Makeup,0.1,62,36
LUM-1022,36,Female,London,88300.0,3515.41,167.4,21,Skincare,0.5,56,50
LUM-1023,20,Female,Dubai,58800.0,2524.97,210.41,12,Fragrance,0.14,14,20
LUM-1024,30,Male,Tokyo,111300.0,4745.88,98.87,48,Haircare,0.23,10,4
LUM-1025,37,Male,Tokyo,106000.0,4178.55,232.14,18,Bath & Body,0.11,19,18
LUM-1026,23,Female,Paris,38200.0,1748.56,194.28,9,Haircare,0.35,22,31
LUM-1027,40,Female,New York,71400.0,2717.99,118.17,23,Haircare,0.05,9,35
LUM-1028,29,Female,Milan,88300.0,3989.07,110.81,36,Fragrance,0.47,78,18
LUM-1029,32,Female,Paris,66300.0,2391.14,149.45,16,Makeup,0.49,27,37
LUM-1030,29,Female,London,107300.0,4089.6,215.24,19,Bath & Body,0.18,134,49
LUM-1031,56,Female,Milan,82700.0,3902.68,229.57,17,Makeup,0.31,58,45
LUM-1032,35,Female,New York,90900.0,3821.97,166.17,23,Haircare,0.41,28,44
LUM-1033,24,Female,London,71000.0,2978.95,229.15,13,Skincare,0.3,102,19
LUM-1034,45,Female,Los Angeles,22000.0,1276.51,79.78,16,Haircare,0.27,24,6
LUM-1035,22,Female,Dubai,22000.0,986.09,89.64,11,Makeup,0.4,76,51
LUM-1036,38,Non-Binary,London,105600.0,4175.44,231.97,18,Haircare,0.32,15,6
LUM-1037,18,Female,Dubai,94300.0,3695.54,217.38,17,Skincare,0.68,16,53
LUM-1038,21,Female,Milan,100400.0,4067.89,156.46,26,Fragrance,0.08,18,27
LUM-1039,38,Female,Dubai,89700.0,3187.63,212.51,15,Makeup,0.42,27,35
LUM-1040,44,Female,Milan,92500.0,3856.86,241.05,16,Haircare,0.37,28,16
LUM-1041,37,Female,Milan,118900.0,4966.49,206.94,24,Makeup,0.42,24,26
LUM-1042,34,Female,Milan,100600.0,3959.85,219.99,18,Fragrance,0.34,12,13
LUM-1043,32,Non-Binary,Milan,121400.0,4943.13,205.96,24,Haircare,0.34,91,27
LUM-1044,19,Female,Milan,91000.0,3778.1,107.95,35,Haircare,0.29,31,30
LUM-1045,28,Female,London,74500.0,2925.18,225.01,13,Makeup,0.31,18,9
LUM-1046,30,Male,Milan,91800.0,3395.44,113.18,30,Makeup,0.34,36,51
LUM-1047,47,Female,London,55700.0,2173.98,241.55,9,Skincare,0.23,51,38
LUM-1048,39,Female,Milan,71700.0,3097.37,154.87,20,Fragrance,0.08,113,12
LUM-1049,18,Female,Dubai,91200.0,3675.16,193.43,19,Skincare,0.49,24,51
LUM-1050,39,Female,Los Angeles,90800.0,4060.53,162.42,25,Haircare,0.25,4,38
LUM-1051,31,Male,Milan,81300.0,3582.76,96.83,37,Makeup,0.3,20,33
LUM-1052,28,Female,New York,36400.0,2010.64,125.66,16,Haircare,0.08,22,21
LUM-1053,42,Female,Milan,107300.0,4334.42,240.8,18,Haircare,0.29,79,20
LUM-1054,47,Female,Milan,114200.0,4208.34,247.55,17,Bath & Body,0.11,17,51
LUM-1055,46,Female,Dubai,142500.0,5585.1,132.98,42,Bath & Body,0.15,107,8
LUM-1056,26,Female,Tokyo,100500.0,4036.66,252.29,16,Haircare,0.49,23,30
LUM-1057,32,Female,Dubai,85100.0,3136.99,224.07,14,Makeup,0.11,127,9
LUM-1058,39,Female,New York,49500.0,2595.48,185.39,14,Haircare,0.3,1,40
LUM-1059,46,Male,Tokyo,137200.0,5632.69,117.35,48,Bath & Body,0.17,80,59
LUM-1060,30,Female,Paris,93700.0,3436.26,229.08,15,Makeup,0.06,93,14
LUM-1061,33,Female,Paris,91800.0,3521.66,176.08,20,Haircare,0.57,113,43
LUM-1062,23,Male,New York,76100.0,2998.51,230.65,13,Fragrance,0.28,1,52
LUM-1063,22,Female,Dubai,73900.0,3269.46,217.96,15,Fragrance,0.06,6,36
LUM-1064,44,Female,London,109100.0,4466.92,223.35,20,Haircare,0.09,37,27
LUM-1065,50,Female,New York,49200.0,2235.32,203.21,11,Makeup,0.52,1,19
LUM-1066,35,Female,Los Angeles,141900.0,5548.66,129.04,43,Haircare,0.42,2,55
LUM-1067,47,Female,Tokyo,134300.0,4814.21,137.55,35,Haircare,0.29,8,35
LUM-1068,39,Non-Binary,Tokyo,72600.0,3155.41,131.48,24,Bath & Body,0.07,25,25
LUM-1069,28,Female,Milan,54800.0,2387.73,82.34,29,Fragrance,0.3,27,11
LUM-1070,39,Female,Paris,22000.0,1066.29,177.72,6,Bath & Body,0.31,1,8
LUM-1071,52,Male,Tokyo,41200.0,1482.25,211.75,7,Bath & Body,0.1,6,4
LUM-1072,35,Female,New York,110500.0,4375.59,230.29,19,Haircare,0.37,24,40
LUM-1073,53,Female,Tokyo,96000.0,3967.09,104.4,38,Bath & Body,0.18,31,11
LUM-1074,18,Female,New York,102300.0,3569.76,169.99,21,Fragrance,0.19,5,5
LUM-1075,45,Non-Binary,London,22000.0,1275.55,79.72,16,Bath & Body,0.27,17,18
LUM-1076,36,Female,Milan,71100.0,3025.17,97.59,31,Fragrance,0.62,82,27
LUM-1077,32,Female,Paris,132900.0,4985.23,103.86,48,Bath & Body,0.27,180,26
LUM-1078,37,Female,Tokyo,81600.0,3469.95,204.11,17,Fragrance,0.49,152,49
LUM-1079,18,Female,New York,40500.0,1877.7,93.88,20,Bath & Body,0.19,74,31
LUM-1080,33,Female,Dubai,81100.0,3423.45,201.38,17,Bath & Body,0.44,17,46
LUM-1081,39,Female,Paris,58000.0,2690.27,122.28,22,Makeup,0.42,40,57
LUM-1082,52,Male,London,96700.0,4044.94,224.72,18,Fragrance,0.49,18,42
LUM-1083,30,Female,New York,85700.0,3804.55,223.8,17,Fragrance,0.06,36,28
LUM-1084,27,Female,Los Angeles,104000.0,4241.5,249.5,17,Fragrance,0.17,12,40
LUM-1085,30,Male,Los Angeles,42400.0,1840.89,230.11,8,Skincare,0.28,32,37
LUM-1086,46,Male,Milan,69300.0,2731.16,248.29,11,Bath & Body,0.53,25,25
LUM-1087,39,Female,Milan,123200.0,4493.01,224.65,20,Fragrance,0.08,1,6
LUM-1088,30,Female,London,37600.0,1861.35,206.82,9,Skincare,0.38,54,44
LUM-1089,41,Female,London,49900.0,2642.89,110.12,24,Makeup,0.27,1,16
LUM-1090,37,Non-Binary,Milan,92000.0,3612.46,124.57,29,Fragrance,0.44,12,55
LUM-1091,46,Male,Tokyo,95000.0,3959.88,116.47,34,Fragrance,0.14,1,58
LUM-1092,28,Female,Tokyo,67900.0,2650.82,176.72,15,Skincare,0.19,16,49
LUM-1093,32,Male,New York,75300.0,3193.94,168.1,19,Bath & Body,0.23,2,41
LUM-1094,31,Female,Dubai,103700.0,4507.3,225.36,20,Makeup,0.04,85,9
LUM-1095,19,Female,New York,114700.0,4720.37,236.02,20,Fragrance,0.41,18,10
LUM-1096,39,Female,Dubai,47600.0,1694.76,154.07,11,Bath & Body,0.29,21,44
LUM-1097,38,Male,London,97800.0,4094.21,163.77,25,Makeup,0.13,15,53
LUM-1098,36,Female,Paris,137900.0,5511.37,250.52,22,Haircare,0.15,34,21
LUM-1099,33,Male,New York,80900.0,3383.55,125.32,27,Haircare,0.2,53,4
LUM-1100,20,Male,New York,47200.0,2352.26,213.84,11,Makeup,0.25,36,49
