Customer_ID,Age,Gender,City,Annual_Income,Purchase_Frequency,Total_Spending,Average_Order_Value,Max_Single_Spend,Total_Items_Count,Discount_Usage_Rate,Preferred_Category,Days_Since_Last_Purchase,Customer_Lifetime_Days,Monthly_Purchase_Rate
CUST-1000,36,Female,Los Angeles,77119.93,29,4470.0,154.14,427.0,73,0.05,Haircare,2,1092,0.8
CUST-1001,19,Male,Houston,28851.04,15,2326.0,155.07,332.0,42,0.07,Fragrance,1,1091,0.41
CUST-1002,19,Female,Chicago,70722.18,15,2221.0,148.07,356.0,35,0.04,Skincare,1,1091,0.41
CUST-1003,48,Non-Binary,New York,80132.69,20,2944.0,147.2,427.0,53,0.0575,Bath & Body,1,1092,0.55
CUST-1004,34,Female,Seattle,88411.17,18,3008.0,167.11,427.0,51,0.075,Makeup,1,1087,0.5
CUST-1005,22,Non-Binary,Chicago,59142.52,15,2753.0,183.53,412.0,36,0.0767,Skincare,356,736,0.61
CUST-1006,61,Male,Los Angeles,62779.02,22,3560.0,161.82,427.0,54,0.0318,Skincare,2,1091,0.6
CUST-1007,34,Female,Chicago,69728.57,23,4080.0,177.39,427.0,59,0.0826,Makeup,1,1091,0.63
CUST-1008,27,Male,New York,70058.31,23,3719.0,161.7,427.0,68,0.0609,Haircare,363,731,0.94
CUST-1009,48,Female,Seattle,72224.55,24,4015.0,167.29,427.0,52,0.05,Bath & Body,2,1092,0.66
CUST-1010,42,Female,Dallas,100786.21,23,3819.0,166.04,427.0,64,0.05,Haircare,1,1091,0.63
CUST-1011,48,Female,New York,61263.92,26,4257.0,163.73,427.0,62,0.0692,Fragrance,1,1093,0.71
CUST-1012,56,Female,San Francisco,80038.6,26,3618.0,139.15,307.0,53,0.0673,Haircare,1,1093,0.71
CUST-1013,33,Non-Binary,Houston,60347.17,21,3285.0,156.43,427.0,56,0.0595,Makeup,1,1090,0.58
CUST-1014,45,Female,New York,44609.57,16,1523.0,95.19,157.0,43,0.0625,Fragrance,1,1092,0.44
CUST-1015,30,Female,Los Angeles,59719.09,32,5509.0,172.16,427.0,82,0.0594,Makeup,1,1093,0.88
CUST-1016,62,Male,Seattle,106994.03,32,5684.0,177.62,427.0,77,0.0734,Bath & Body,1,1093,0.88
CUST-1017,45,Male,Miami,65663.09,25,3808.0,152.32,427.0,59,0.064,Fragrance,1,1091,0.69
CUST-1018,58,Female,Seattle,34482.16,33,5875.0,178.03,427.0,89,0.0606,Makeup,1,1093,0.91
CUST-1019,58,Female,Houston,129283.89,11,1902.0,172.91,427.0,35,0.0591,Bath & Body,2,729,0.45
CUST-1020,51,Female,Dallas,45262.88,30,4672.0,155.73,427.0,69,0.065,Makeup,1,1092,0.82
CUST-1021,43,Female,Los Angeles,68675.57,22,3506.0,159.36,427.0,45,0.0705,Fragrance,2,1089,0.61
CUST-1022,35,Female,Miami,62515.21,25,3466.0,138.64,335.0,64,0.066,Haircare,1,1091,0.69
CUST-1023,43,Female,Dallas,84837.33,17,2348.0,138.12,427.0,51,0.0529,Haircare,357,737,0.69
CUST-1024,52,Female,San Francisco,90988.57,28,3897.0,139.18,365.0,65,0.0714,Skincare,2,1092,0.77
CUST-1025,31,Female,Chicago,98199.87,23,4041.0,175.7,427.0,61,0.0717,Haircare,2,1092,0.63
CUST-1026,26,Female,Los Angeles,78633.27,28,4108.0,146.71,427.0,85,0.0946,Haircare,1,1092,0.77
CUST-1027,41,Female,Los Angeles,56158.45,25,3221.0,128.84,298.0,62,0.066,Fragrance,2,1092,0.69
CUST-1028,48,Female,Miami,59496.58,30,4485.0,149.5,427.0,73,0.08,Fragrance,2,1091,0.82
CUST-1029,41,Female,San Francisco,82147.91,17,2999.0,176.41,427.0,46,0.0794,Haircare,1,1091,0.47
CUST-1030,58,Non-Binary,Seattle,68212.67,26,3994.0,153.62,341.0,60,0.0904,Bath & Body,1,1093,0.71
CUST-1031,44,Female,Miami,50741.94,25,4082.0,163.28,427.0,71,0.072,Fragrance,356,736,1.02
CUST-1032,50,Female,San Francisco,76200.39,21,2938.0,139.9,427.0,54,0.1071,Fragrance,356,375,1.68
CUST-1033,58,Female,Miami,52659.97,23,3165.0,137.61,338.0,56,0.063,Fragrance,356,734,0.94
CUST-1034,37,Female,Dallas,86196.22,20,2161.0,108.05,265.0,55,0.08,Haircare,1,1093,0.55
CUST-1035,18,Male,New York,55672.55,22,3362.0,152.82,326.0,52,0.0705,Bath & Body,1,1093,0.6
CUST-1036,20,Female,Seattle,65182.88,17,2924.0,172.0,427.0,47,0.0735,Makeup,1,1090,0.47
CUST-1037,35,Female,Dallas,33473.28,18,3017.0,167.61,427.0,40,0.0639,Bath & Body,1,1091,0.49
CUST-1038,35,Female,San Francisco,67589.71,22,2887.0,131.23,319.0,58,0.0705,Skincare,356,738,0.89
CUST-1039,33,Male,Miami,109717.24,17,3674.0,216.12,427.0,44,0.0824,Fragrance,356,734,0.69
CUST-1040,36,Female,New York,55023.46,23,3140.0,136.52,295.0,66,0.0652,Makeup,2,1092,0.63
CUST-1041,45,Female,New York,87492.28,25,3984.0,159.36,405.0,58,0.074,Fragrance,1,1092,0.69
CUST-1042,57,Male,Houston,90302.31,22,3789.0,172.23,427.0,57,0.0568,Bath & Body,358,735,0.9
CUST-1043,28,Female,Chicago,56074.72,23,3660.0,159.13,427.0,61,0.0652,Fragrance,357,737,0.94
CUST-1044,48,Female,Los Angeles,82168.93,16,2401.0,150.06,412.0,37,0.1062,Makeup,2,1091,0.44
CUST-1045,63,Female,Chicago,58765.44,23,3502.0,152.26,427.0,55,0.0804,Skincare,1,1093,0.63
CUST-1046,42,Female,Chicago,109222.88,25,3854.0,154.16,427.0,50,0.058,Bath & Body,356,733,1.02
CUST-1047,62,Male,San Francisco,22400.88,16,2249.0,140.56,427.0,38,0.0656,Fragrance,356,737,0.65
CUST-1048,28,Female,Houston,49843.58,26,4868.0,187.23,427.0,61,0.0769,Skincare,2,1090,0.72
CUST-1049,19,Female,Seattle,60221.3,20,3119.0,155.95,330.0,50,0.0625,Bath & Body,356,737,0.81
CUST-1050,49,Non-Binary,San Francisco,62870.48,20,2411.0,120.55,273.0,49,0.08,Skincare,1,1093,0.55
CUST-1051,37,Female,Houston,46371.56,26,3675.0,141.35,281.0,55,0.0577,Bath & Body,2,1092,0.71
CUST-1052,30,Female,San Francisco,68101.89,24,3757.0,156.54,427.0,58,0.0688,Makeup,1,1092,0.66
CUST-1053,30,Female,Houston,66462.48,17,3115.0,183.24,427.0,40,0.0765,Fragrance,1,1087,0.47
CUST-1054,64,Male,Houston,55815.19,28,4831.0,172.54,427.0,71,0.0679,Makeup,2,1091,0.77
CUST-1055,28,Female,Seattle,72207.11,25,3454.0,138.16,317.0,67,0.068,Skincare,2,1090,0.69
