Customer_ID,Age,Gender,Annual_Income,City,Transaction_Date,Product_Category,Purchase_Amount,Discount_Rate,Items_Count,Skin_Type,Fashion_Style
CUST-1228,20,Female,82972.55,Paris,2023-11-05,Bath & Body,133.95,0.1,2,Sensitive Glow,Minimalist Chic
CUST-1285,42,Non-Binary,63263.14,Milan,2023-06-10,Skincare,147.13,0.0,1,Mature Luminosity,Old Money Luxe
CUST-1864,18,Female,98759.24,Paris,2023-07-09,Skincare,160.82,0.0,4,Dry / Dehydrated,Minimalist Chic
CUST-1476,18,Female,38091.76,Dubai,2023-05-11,Fragrance,194.35,0.2,1,Dry / Dehydrated,Quiet Luxury
CUST-1407,26,Male,122819.28,Milan,2023-12-06,Fragrance,18.66,0.0,2,Oily Clarity,Minimalist Chic
CUST-1919,43,Female,98721.07,Dubai,2023-07-25,Bath & Body,199.04,0.1,3,Dry / Dehydrated,Minimalist Chic
CUST-1865,37,Female,57388.66,New York,2024-02-06,Bath & Body,51.1,0.05,1,Sensitive Glow,Minimalist Chic
CUST-1689,28,Male,93461.66,Paris,2023-09-09,Skincare,128.57,0.0,3,Oily Clarity,Old Money Luxe
CUST-1735,21,Female,35417.64,Los Angeles,2023-07-07,Bath & Body,158.69,0.0,4,Mature Luminosity,French Riviera
CUST-1088,26,Female,83102.1,Milan,2024-06-04,Haircare,100.75,0.0,3,Mature Luminosity,Old Money Luxe
CUST-1775,37,Male,97193.71,Paris,2023-02-10,Fragrance,164.72,0.0,3,Combination Balance,Quiet Luxury
CUST-1740,39,Male,70794.87,Dubai,2024-02-11,Makeup,178.24,0.0,3,Dry / Dehydrated,Old Money Luxe
CUST-1466,41,Female,118162.91,Los Angeles,2024-04-06,Bath & Body,142.89,0.0,3,Dry / Dehydrated,Minimalist Chic
CUST-1206,18,Male,51655.93,Tokyo,2024-01-28,Bath & Body,159.21,0.0,3,Oily Clarity,French Riviera
CUST-1333,30,Female,50861.06,New York,2023-04-06,Bath & Body,127.52,0.0,1,Sensitive Glow,French Riviera
CUST-1146,30,Female,82441.26,Dubai,2023-02-05,Makeup,68.59,0.05,1,Mature Luminosity,Minimalist Chic
CUST-1334,48,Male,95593.33,Tokyo,2023-01-28,Haircare,134.65,0.0,1,Combination Balance,Quiet Luxury
CUST-1449,40,Female,99066.03,Milan,2023-12-14,Bath & Body,109.52,0.0,3,Dry / Dehydrated,Minimalist Chic
CUST-1065,29,Female,86523.89,Los Angeles,2023-11-14,Bath & Body,52.53,0.0,3,Oily Clarity,French Riviera
CUST-1135,21,Female,66432.14,London,2024-04-16,Fragrance,79.89,0.15,2,Combination Balance,Minimalist Chic
CUST-2022,34,Female,73138.85,Tokyo,2023-04-23,Haircare,24.06,0.0,1,Sensitive Glow,French Riviera
