Customer_ID,Age,Gender,City,Annual_Income,Total_Spending,Average_Order_Value,Purchase_Frequency,Preferred_Category,Discount_Usage,Days_Since_Last_Purchase,Customer_Lifetime_Months,Spending_To_Income_Ratio,Monthly_Spend_Velocity,Discount_Sensitivity,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,RFM_Sum,RFM_Segment,Predicted_CLV_3Yr,CLV_Tier,Cluster,Customer_Persona
LUM-1000,41,Female,Dubai,55600.0,2250.01,160.72,14,Skincare,0.35,74,54,0.0405,41.67,High,1,1,1,111,3,Lost Customers,799.56,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1001,34,Female,Tokyo,99300.0,3993.58,181.53,22,Makeup,0.23,23,48,0.0402,83.2,Moderate,3,3,4,334,10,Loyal Customers,1596.44,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1002,43,Non-Binary,Los Angeles,142800.0,5411.68,169.12,32,Bath & Body,0.41,34,7,0.0379,773.1,High,2,4,5,245,11,Loyal Customers,14834.24,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1003,52,Female,Los Angeles,150600.0,5810.08,166.0,35,Haircare,0.05,2,31,0.0386,187.42,Low,5,5,5,555,15,Champions,3596.21,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1004,33,Male,Tokyo,74000.0,3167.67,137.72,23,Haircare,0.17,23,49,0.0428,64.65,Low,3,3,3,333,9,Loyal Customers,1240.5,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1005,33,Male,New York,118500.0,4805.75,100.12,48,Fragrance,0.21,5,49,0.0406,98.08,Moderate,5,5,5,555,15,Champions,1881.96,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1006,53,Female,New York,133600.0,4305.66,95.68,45,Haircare,0.24,16,29,0.0322,148.47,Moderate,4,5,4,454,13,Champions,2848.84,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1007,44,Female,Paris,32300.0,1740.45,158.22,11,Fragrance,0.38,13,27,0.0539,64.46,High,4,1,1,411,6,Lost Customers,1236.86,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1008,30,Female,Paris,67100.0,2728.82,143.62,19,Skincare,0.49,19,18,0.0407,151.6,High,3,3,2,332,8,Potential Loyalists,2908.9,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1009,41,Female,Los Angeles,162700.0,5983.02,166.2,36,Skincare,0.49,29,18,0.0368,332.39,High,3,5,5,355,13,Loyal Customers,6377.9,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1010,30,Male,Tokyo,74500.0,3345.78,133.83,25,Skincare,0.18,81,38,0.0449,88.05,Low,1,4,3,143,8,Loyal Customers,1689.5,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1011,30,Male,Milan,22000.0,1710.05,190.01,9,Makeup,0.11,17,27,0.0777,63.34,Low,4,1,1,411,6,Lost Customers,1215.37,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1012,38,Female,Milan,80800.0,3534.7,220.92,16,Makeup,0.05,138,43,0.0437,82.2,Low,1,2,3,123,6,At Risk,1577.25,Bronze Tier 🥉,2,Budget Conscious 💄
