Customer_ID,Age,Gender,City,Annual_Income,Purchase_Frequency,Total_Spending,Average_Order_Value,Max_Single_Spend,Total_Items_Count,Discount_Usage_Rate,Preferred_Category,Days_Since_Last_Purchase,Customer_Lifetime_Days,Monthly_Purchase_Rate,Cluster_KMeans,Cluster_Agglomerative,Cluster_DBSCAN,PCA1,PCA2,PCA3_1,PCA3_2,PCA3_3,Customer_Persona,RFM_Segment,RFM_Score,Predicted_CLV_3Yr,CLV_Tier
CUST-1000,36,Female,Los Angeles,77119.93,29,4470.0,154.14,427.0,73,0.05,Haircare,2,1092,0.8,2,0,0,1.3942407752509542,-0.18903512461492286,1.3942407752509542,-0.18903512461492286,-1.4127083351203449,VIP Cosmetics Enthusiasts ✨,Loyal Customers,355,4470.0,Gold Tier 🥇
CUST-1001,19,Male,Houston,28851.04,15,2326.0,155.07,332.0,42,0.07,Fragrance,1,1091,0.41,0,0,-1,-1.9826292129764942,0.08368439117291576,-1.9826292129764942,0.08368439117291576,0.6909200260272005,Occasional / New Shoppers 🌱,New / Promising,511,2326.0,Bronze Tier 🥉
CUST-1002,19,Female,Chicago,70722.18,15,2221.0,148.07,356.0,35,0.04,Skincare,1,1091,0.41,0,0,-1,-2.188606616365562,-0.8024596618133609,-2.188606616365562,-0.8024596618133609,-1.2340958633223298,Occasional / New Shoppers 🌱,New / Promising,511,2221.0,Bronze Tier 🥉
CUST-1003,48,Non-Binary,New York,80132.69,20,2944.0,147.2,427.0,53,0.0575,Bath & Body,1,1092,0.55,0,0,0,-1.0206252077355593,0.4117161233394389,-1.0206252077355593,0.4117161233394389,-0.5095736567634526,Occasional / New Shoppers 🌱,New / Promising,522,2944.0,Bronze Tier 🥉
CUST-1004,34,Female,Seattle,88411.17,18,3008.0,167.11,427.0,51,0.075,Makeup,1,1087,0.5,1,3,0,-0.9021220686954715,-0.8118396487391545,-0.9021220686954715,-0.8118396487391545,0.8500605512726014,Occasional / New Shoppers 🌱,New / Promising,512,3008.0,Bronze Tier 🥉
CUST-1005,22,Non-Binary,Chicago,59142.52,15,2753.0,183.53,412.0,36,0.0767,Skincare,356,736,0.61,3,2,-1,-1.6745881918291956,-1.9735337665226975,-1.6745881918291956,-1.9735337665226975,1.4292964893010116,Frequent Budget Buyers 🛍️,Lost Customers,211,2753.0,Bronze Tier 🥉
CUST-1006,61,Male,Los Angeles,62779.02,22,3560.0,161.82,427.0,54,0.0318,Skincare,2,1091,0.6,0,0,0,0.0016704003266442516,1.3069664702918193,0.0016704003266442516,1.3069664702918193,-1.3429200073282475,Occasional / New Shoppers 🌱,Potential Loyalists,323,3560.0,Bronze Tier 🥉
CUST-1007,34,Female,Chicago,69728.57,23,4080.0,177.39,427.0,59,0.0826,Makeup,1,1091,0.63,1,3,0,0.7331512816909107,-0.5133518519389316,0.7331512816909107,-0.5133518519389316,1.2616375512269704,Occasional / New Shoppers 🌱,Loyal Customers,534,4080.0,Silver Tier 🥈
CUST-1008,27,Male,New York,70058.31,23,3719.0,161.7,427.0,68,0.0609,Haircare,363,731,0.94,3,2,1,-0.31663264163280297,-1.6652959672003955,-0.31663264163280297,-1.6652959672003955,-0.49929283874488883,Frequent Budget Buyers 🛍️,At Risk,133,3719.0,Silver Tier 🥈
CUST-1009,48,Female,Seattle,72224.55,24,4015.0,167.29,427.0,52,0.05,Bath & Body,2,1092,0.66,2,1,0,0.665586857704669,0.32022192375193775,0.665586857704669,0.32022192375193775,-0.5943450530085563,VIP Cosmetics Enthusiasts ✨,Loyal Customers,334,4015.0,Silver Tier 🥈
CUST-1010,42,Female,Dallas,100786.21,23,3819.0,166.04,427.0,64,0.05,Haircare,1,1091,0.63,0,0,0,0.346036892821283,-0.6607237217389583,0.346036892821283,-0.6607237217389583,-0.7729765582709482,Occasional / New Shoppers 🌱,Loyal Customers,533,3819.0,Silver Tier 🥈
CUST-1011,48,Female,New York,61263.92,26,4257.0,163.73,427.0,62,0.0692,Fragrance,1,1093,0.71,2,1,0,1.031203199162918,0.6214907363144965,1.031203199162918,0.6214907363144965,0.20338782675951095,VIP Cosmetics Enthusiasts ✨,Champions,544,4257.0,Silver Tier 🥈
CUST-1012,56,Female,San Francisco,80038.6,26,3618.0,139.15,307.0,53,0.0673,Haircare,1,1093,0.71,0,1,0,0.10257692890702916,0.9375173693836648,0.10257692890702916,0.9375173693836648,-0.5622285980703583,Occasional / New Shoppers 🌱,Loyal Customers,543,3618.0,Silver Tier 🥈
